Participant,Session,TLX
0,Norm,9.833333333333334
0,High,14.166666666666666
1,Norm,4.833333333333333
1,High,14.333333333333334
2,Norm,4.5
2,High,12.5
3,Norm,9.166666666666666
3,High,14.0
4,Norm,5.166666666666667
4,High,11.166666666666666
5,Norm,1.6666666666666667
5,High,6.333333333333333
6,Norm,6.333333333333333
6,High,14.666666666666666
7,Norm,10.666666666666666
7,High,12.666666666666666
8,Norm,5.833333333333333
8,High,10.166666666666666
9,Norm,3.5
9,High,6.5
10,Norm,7.0
10,High,9.333333333333334
11,Norm,8.0
11,High,10.833333333333334
12,Norm,6.5
12,High,10.0
13,Norm,7.833333333333333
13,High,10.5
14,Norm,6.666666666666667
14,High,10.333333333333334
15,Norm,8.5
15,High,11.333333333333334
16,Norm,7.833333333333333
16,High,9.166666666666666
17,Norm,8.666666666666666
17,High,10.333333333333334
18,Norm,10.0
18,High,11.666666666666666
19,Norm,5.833333333333333
19,High,6.833333333333333
20,Norm,3.3333333333333335
20,High,7.5
